data;fazenda;almoco;janta;cafe;lanche;vlrAlmoco;vlrJanta;vlrCafe;vlrLanche;total
07/02/2021;Santa Elisa;111;63;78;0;13,5;13,5;6;6;2817
07/02/2021;Silo;4;0;0;0;13,5;13,5;6;6;54
08/02/2021;Santa Elisa;177;89;130;10;13,5;13,5;6;6;4431
08/02/2021;Silo;51;10;39;0;13,5;13,5;6;6;1057,5
09/02/2021;Santa Elisa;220;92;152;13;13,5;13,5;6;6;5202
09/02/2021;Silo;44;13;48;0;13,5;13,5;6;6;1057,5
10/02/2021;Santa Elisa;176;104;142;9;13,5;13,5;6;6;4686
10/02/2021;Silo;62;16;49;0;13,5;13,5;6;6;1347
11/02/2021;Santa Elisa;193;114;165;13;13,5;13,5;6;6;5212,5
11/02/2021;Silo;56;27;50;0;13,5;13,5;6;6;1420,5
12/02/2021;Santa Elisa;144;59;153;10;13,5;13,5;6;6;3718,5
12/02/2021;Silo;47;13;53;0;13,5;13,5;6;6;1128
13/02/2021;Santa Elisa;105;54;130;8;13,5;13,5;6;6;2974,5
13/02/2021;Silo;39;14;44;0;13,5;13,5;6;6;979,5
14/02/2021;Santa Elisa;60;60;60;0;13,5;13,5;6;6;1980
14/02/2021;Silo;28;14;25;0;13,5;13,5;6;6;717
15/02/2021;Santa Elisa;167;85;123;8;13,5;13,5;6;6;4188
15/02/2021;Silo;51;18;52;0;13,5;13,5;6;6;1243,5
16/02/2021;Santa Elisa;202;107;149;8;13,5;13,5;6;6;5113,5
16/02/2021;Silo;49;20;54;0;13,5;13,5;6;6;1255,5
17/02/2021;Santa Elisa;212;96;156;10;13,5;13,5;6;6;5154
17/02/2021;Silo;65;24;58;0;13,5;13,5;6;6;1549,5
18/02/2021;Santa Elisa;182;79;136;8;13,5;13,5;6;6;4387,5
18/02/2021;Silo;94;23;58;0;13,5;13,5;6;6;1927,5
19/02/2021;Santa Elisa;145;76;136;7;13,5;13,5;6;6;3841,5
19/02/2021;Silo;106;28;98;0;13,5;13,5;6;6;2397
20/02/2021;Santa Elisa;126;53;124;7;13,5;13,5;6;6;3202,5
20/02/2021;Silo;50;12;63;0;13,5;13,5;6;6;1215
21/02/2021;Santa Elisa;43;43;43;0;13,5;13,5;6;6;1419
21/02/2021;Silo;35;12;40;0;13,5;13,5;6;6;874,5
22/02/2021;Santa Elisa;143;74;109;8;13,5;13,5;6;6;3631,5
22/02/2021;Silo;83;22;85;0;13,5;13,5;6;6;1927,5
23/02/2021;Santa Elisa;184;91;138;9;13,5;13,5;6;6;4594,5
23/02/2021;Silo;72;19;75;0;13,5;13,5;6;6;1678,5
24/02/2021;Santa Elisa;195;89;139;7;13,5;13,5;6;6;4710
24/02/2021;Silo;76;18;72;0;13,5;13,5;6;6;1701
25/02/2021;Santa Elisa;208;96;140;7;13,5;13,5;6;6;4986
25/02/2021;Silo;69;13;78;0;13,5;13,5;6;6;1575
26/02/2021;Santa Elisa;190;89;131;7;13,5;13,5;6;6;4594,5
26/02/2021;Silo;63;12;78;0;13,5;13,5;6;6;1480,5
27/02/2021;Santa Elisa;110;50;120;7;13,5;13,5;6;6;2922
27/02/2021;Silo;39;10;49;0;13,5;13,5;6;6;955,5
28/02/2021;Santa Elisa;75;62;57;0;13,5;13,5;6;6;2191,5
28/02/2021;Silo;7;7;27;0;13,5;13,5;6;6;351
01/03/2021;Santa Elisa;145;82;120;6;13,5;13,5;6;6;3820,5
01/03/2021;Silo;51;12;66;0;13,5;13,5;6;6;1246,5
02/03/2021;Santa Elisa;195;82;144;9;13,5;13,5;6;6;4657,5
02/03/2021;Silo;44;8;66;0;13,5;13,5;6;6;1098
03/03/2021;Santa Elisa;184;74;145;9;13,5;13,5;6;6;4407
03/03/2021;Silo;47;12;60;0;13,5;13,5;6;6;1156,5
04/03/2021;Santa Elisa;196;93;142;5;13,5;13,5;6;6;4783,5
04/03/2021;Silo;36;9;50;0;13,5;13,5;6;6;907,5
05/03/2021;Santa Elisa;176;86;131;6;13,5;13,5;6;6;4359
05/03/2021;Silo;36;8;52;0;13,5;13,5;6;6;906
06/03/2021;Santa Elisa;187;89;137;6;13,5;13,5;6;6;4584
06/03/2021;Silo;21;9;32;0;13,5;13,5;6;6;597
